Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-01-23 14:19:54.193 -0500,"Success",0:00:00,0,0,0,"20240123_141954.193/LogFile.txt","","",1
2024-01-23 14:26:29.858 -0500,"Success",0:00:00,0,0,0,"20240123_142629.858/LogFile.txt","","",1
2024-01-23 14:27:48.429 -0500,"Aborted",0:00:20,1,0,0,"20240123_142748.429/LogFile.txt","","",0
2024-01-23 14:28:47.399 -0500,"Aborted",0:01:12,1,0,0,"20240123_142847.399/LogFile.txt","","",0
2024-01-23 14:30:30.792 -0500,"Aborted",0:00:59,1,0,0,"20240123_143030.792/LogFile.txt","","",0
2024-01-23 14:40:15.187 -0500,"Aborted",0:01:14,1,0,0,"20240123_144015.187/LogFile.txt","","",0
2024-01-23 14:41:55.626 -0500,"Success",0:00:42,0,0,0,"20240123_144155.626/LogFile.txt","","",1
2024-01-23 14:47:16.429 -0500,"Success",0:00:00,0,0,0,"20240123_144716.429/LogFile.txt","","",1
2024-01-23 14:47:29.493 -0500,"Success",0:00:00,0,0,0,"20240123_144729.493/LogFile.txt","","",1
